MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Runtime
16,16,16,8,8,8,16,2,1,1,0,1,1,0,83.08
16,16,16,8,8,8,16,2,1,1,0,1,1,1,72.7525
16,16,16,8,8,8,16,2,1,1,1,0,0,0,117.17
16,16,16,8,8,8,16,2,1,1,1,0,0,1,79.9175
16,16,16,8,8,8,16,2,1,1,1,0,1,0,84.515
16,16,16,8,8,8,16,2,1,1,1,0,1,1,80.4275
16,16,16,8,8,8,16,2,1,1,1,1,0,0,118.405
16,16,16,8,8,8,16,2,1,1,1,1,0,1,79.82
16,16,16,8,8,8,16,2,1,1,1,1,1,0,86.505
16,16,16,8,8,8,16,2,1,1,1,1,1,1,80.5025
16,16,16,8,8,8,16,2,2,1,0,0,0,0,73.2825
16,16,16,8,8,8,16,2,2,1,0,0,0,1,68.1575
16,16,16,8,8,8,16,2,2,1,0,0,1,0,62.345
16,16,16,8,8,8,16,2,2,1,0,0,1,1,53.5525
16,16,16,8,8,8,16,2,2,1,0,1,0,0,75.79
